#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-49.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-49.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-49.1	1.0e+00	<NULL>	<NULL>	<NULL>	      1
-27.2	5.9e-01	1.00000	1.00000	0.599784	0.594155
-27.1	5.8e-01	1.00000	1.00000	0.595294	0.58988
-27	5.8e-01	1.00000	1.00000	0.590856	0.58571
-26.9	5.7e-01	1.00000	1.00000	0.586454	 0.5816
-26.8	5.7e-01	1.00000	1.00000	0.582132	0.577563
-26.7	5.6e-01	1.00000	1.00000	0.577826	0.573616
-26.6	5.6e-01	1.00000	1.00000	0.573567	0.569736
-26.5	5.6e-01	1.00000	1.00000	0.56932	0.565928
-26.4	5.5e-01	1.00000	1.00000	0.56511	0.562147
-26.3	5.5e-01	1.00000	1.00000	0.560931	0.558347
-26.2	5.4e-01	1.00000	1.00000	0.556799	0.55466
-26.1	5.4e-01	1.00000	1.00000	0.55271	0.551005
-26	5.4e-01	1.00000	1.00000	0.548596	0.547362
-25.9	5.3e-01	1.00000	1.00000	0.544473	0.543734
-25.8	5.3e-01	1.00000	1.00000	0.540356	0.540128
-25.7	5.2e-01	1.00000	1.00000	0.53624	0.536528
-25.6	5.2e-01	1.00000	1.00000	0.532094	0.532894
-25.5	5.1e-01	1.00000	1.00000	0.527931	0.529212
-25.4	5.1e-01	1.00000	1.00000	0.523713	0.525504
-25.3	5.1e-01	1.00000	1.00000	0.51951	0.521771
-25.2	5.0e-01	1.00000	1.00000	0.515238	0.518023
-25.1	5.0e-01	1.00000	1.00000	0.510927	0.514205
-25	4.9e-01	1.00000	1.00000	0.50656	0.510344
-24.9	4.9e-01	1.00000	1.00000	0.502182	0.506425
-24.8	4.8e-01	1.00000	1.00000	0.497754	0.502439
-24.7	4.8e-01	1.00000	1.00000	0.49323	0.498407
-24.6	4.7e-01	1.00000	1.00000	0.488683	0.494284
-24.5	4.7e-01	1.00000	1.00000	0.484097	0.490135
-24.4	4.6e-01	1.00000	1.00000	0.479454	0.485886
-24.3	4.6e-01	1.00000	1.00000	0.474785	0.481609
-24.2	4.6e-01	1.00000	1.00000	0.470085	0.47731
-24.1	4.5e-01	1.00000	1.00000	0.465367	0.472917
-24	4.5e-01	1.00000	1.00000	0.460599	0.468514
-23.9	4.4e-01	1.00000	1.00000	0.455804	0.464048
-23.8	4.4e-01	1.00000	1.00000	0.450981	0.459545
-23.7	4.3e-01	1.00000	1.00000	0.446166	0.454997
-23.6	4.3e-01	1.00000	1.00000	0.441342	0.450416
-23.5	4.2e-01	1.00000	1.00000	0.436531	 0.4458
-23.4	4.2e-01	1.00000	1.00000	0.431691	0.441168
-23.3	4.1e-01	1.00000	1.00000	0.426797	0.436497
-23.2	4.1e-01	1.00000	1.00000	0.421946	0.431794
-23.1	4.0e-01	1.00000	1.00000	0.417141	0.427092
-23	4.0e-01	1.00000	1.00000	0.412326	0.422319
-22.9	3.9e-01	1.00000	1.00000	0.407525	0.41758
-22.8	3.9e-01	1.00000	1.00000	0.402769	0.412806
-22.7	3.8e-01	1.00000	1.00000	0.397988	0.408016
-22.6	3.8e-01	1.00000	1.00000	0.393213	0.403213
-22.5	3.7e-01	1.00000	1.00000	0.388434	0.398383
-22.4	3.7e-01	1.00000	1.00000	0.383682	0.393542
-22.3	3.6e-01	1.00000	1.00000	0.37897	0.388687
-22.2	3.6e-01	1.00000	1.00000	0.374244	0.383821
-22.1	3.6e-01	1.00000	1.00000	0.369558	0.378932
-22	3.5e-01	1.00000	1.00000	0.364861	0.374029
-21.9	3.5e-01	1.00000	1.00000	0.360175	0.369108
-21.8	3.4e-01	1.00000	1.00000	0.355519	0.364189
-21.7	3.4e-01	1.00000	1.00000	0.350872	0.359273
-21.6	3.3e-01	1.00000	1.00000	0.346225	0.354375
-21.5	3.3e-01	1.00000	1.00000	0.341581	0.349492
-21.4	3.2e-01	1.00000	1.00000	0.336979	0.344605
-21.3	3.2e-01	1.00000	1.00000	0.332434	0.339781
-21.2	3.2e-01	1.00000	1.00000	0.32791	0.334963
-21.1	3.1e-01	1.00000	1.00000	0.323379	0.33021
-21	3.1e-01	1.00000	1.00000	0.318885	0.325516
-20.9	3.0e-01	1.00000	1.00000	0.314467	0.320872
-20.8	3.0e-01	1.00000	1.00000	0.310031	0.316316
-20.7	2.9e-01	1.00000	1.00000	0.305677	0.311831
-20.6	2.9e-01	1.00000	1.00000	0.301405	0.307403
-20.5	2.9e-01	1.00000	1.00000	0.297192	0.30309
-20.4	2.8e-01	1.00000	1.00000	0.293042	0.298867
-20.3	2.8e-01	1.00000	1.00000	0.289005	0.294729
-20.2	2.7e-01	1.00000	1.00000	0.285007	0.290705
-20.1	2.7e-01	1.00000	1.00000	0.281108	0.286815
-20	2.7e-01	1.00000	1.00000	0.277307	0.283032
-19.9	2.6e-01	1.00000	1.00000	0.273597	0.279357
-19.8	2.6e-01	1.00000	1.00000	0.269969	0.275824
-19.7	2.6e-01	1.00000	1.00000	0.26643	0.272403
-19.6	2.5e-01	1.00000	1.00000	0.262972	0.269086
-19.5	2.5e-01	1.00000	1.00000	0.259573	0.265863
-19.4	2.5e-01	1.00000	1.00000	0.256195	0.262761
-19.3	2.4e-01	1.00000	1.00000	0.25296	0.259761
-19.2	2.4e-01	1.00000	1.00000	0.249831	0.256846
-19.1	2.4e-01	1.00000	1.00000	0.246741	0.254016
-19	2.3e-01	1.00000	1.00000	0.243714	0.251229
-18.9	2.3e-01	1.00000	1.00000	0.240729	 0.2485
-18.8	2.3e-01	1.00000	1.00000	0.237795	0.245808
-18.7	2.3e-01	1.00000	1.00000	0.234906	0.243201
-18.6	2.2e-01	1.00000	1.00000	0.232058	0.240612
-18.5	2.2e-01	1.00000	1.00000	0.229219	0.238036
-18.4	2.2e-01	1.00000	1.00000	0.226389	0.235486
-18.3	2.1e-01	1.00000	1.00000	0.223552	0.232952
-18.2	2.1e-01	1.00000	1.00000	0.220754	0.23041
-18.1	2.1e-01	1.00000	1.00000	0.217929	0.227887
-18	2.1e-01	1.00000	1.00000	0.215075	0.225321
-17.9	2.0e-01	1.00000	1.00000	0.212231	0.222743
-17.8	2.0e-01	1.00000	1.00000	0.209347	0.220143
-17.7	2.0e-01	1.00000	1.00000	0.206471	0.217519
-17.6	1.9e-01	1.00000	1.00000	0.20355	0.214879
-17.5	1.9e-01	1.00000	1.00000	0.200618	0.212188
-17.4	1.9e-01	1.00000	1.00000	0.197632	0.209487
-17.3	1.9e-01	1.00000	1.00000	0.194648	0.206745
-17.2	1.8e-01	1.00000	1.00000	0.191655	0.203991
-17.1	1.8e-01	1.00000	1.00000	0.188655	0.201206
-17	1.8e-01	1.00000	1.00000	0.185648	0.19838
-16.9	1.7e-01	1.00000	1.00000	0.182634	0.195563
-16.8	1.7e-01	1.00000	1.00000	0.179604	0.192717
-16.7	1.7e-01	1.00000	1.00000	0.176617	0.189837
-16.6	1.7e-01	1.00000	1.00000	0.173618	0.186967
-16.5	1.6e-01	1.00000	1.00000	0.17062	0.184102
-16.4	1.6e-01	1.00000	1.00000	0.167607	0.181218
-16.3	1.6e-01	1.00000	1.00000	0.164613	0.178332
-16.2	1.5e-01	1.00000	1.00000	0.161672	0.175458
-16.1	1.5e-01	1.00000	1.00000	0.158712	0.17259
-16	1.5e-01	1.00000	1.00000	0.155785	0.169716
-15.9	1.5e-01	1.00000	1.00000	0.152883	0.166842
-15.8	1.4e-01	1.00000	1.00000	0.150004	0.16398
-15.7	1.4e-01	1.00000	1.00000	0.14715	0.161126
-15.6	1.4e-01	1.00000	1.00000	0.144313	0.158278
-15.5	1.3e-01	1.00000	1.00000	0.141502	0.155434
-15.4	1.3e-01	1.00000	1.00000	0.138707	0.152598
-15.3	1.3e-01	1.00000	1.00000	0.135954	0.149784
-15.2	1.3e-01	1.00000	1.00000	0.133219	0.146964
-15.1	1.2e-01	1.00000	1.00000	0.130502	0.14417
-15	1.2e-01	1.00000	1.00000	0.127822	0.141382
-14.9	1.2e-01	1.00000	1.00000	0.125118	0.138594
-14.8	1.2e-01	1.00000	1.00000	0.122484	0.135821
-14.7	1.1e-01	1.00000	1.00000	0.119885	0.133047
-14.6	1.1e-01	1.00000	1.00000	0.117286	0.130291
-14.5	1.1e-01	1.00000	1.00000	0.11473	0.127541
-14.4	1.1e-01	1.00000	1.00000	0.112186	0.124808
-14.3	1.0e-01	1.00000	1.00000	0.109683	0.122083
-14.2	1.0e-01	1.00000	1.00000	0.10721	0.119386
-14.1	1.0e-01	1.00000	1.00000	0.104702	0.116696
-14	9.8e-02	1.00000	1.00000	0.102259	0.11403
-13.9	9.6e-02	1.00000	1.00000	0.0998606	0.111428
-13.8	9.4e-02	1.00000	1.00000	0.0975051	0.108862
-13.7	9.2e-02	1.00000	1.00000	0.0951989	0.106302
-13.6	8.9e-02	1.00000	1.00000	0.092927	0.103826
-13.5	8.7e-02	1.00000	1.00000	0.0906729	0.101399
-13.4	8.6e-02	1.00000	1.00000	0.0875769	0.0990625
-13.3	8.4e-02	1.00000	1.00000	0.0854915	0.0958891
-13.2	8.2e-02	1.00000	1.00000	0.0834484	0.0936573
-13.1	8.0e-02	1.00000	1.00000	0.081431	0.0915253
-13	7.8e-02	1.00000	1.00000	0.079493	0.0894371
-12.9	7.7e-02	1.00000	1.00000	0.0776535	0.0874651
-12.8	7.5e-02	1.00000	1.00000	0.0758807	0.0855924
-12.7	7.3e-02	1.00000	1.00000	0.0741735	0.0838006
-12.6	7.2e-02	1.00000	1.00000	0.0725509	0.0820963
-12.5	7.0e-02	1.00000	1.00000	0.0710062	0.0804546
-12.4	6.9e-02	1.00000	1.00000	0.0695461	0.0789058
-12.3	6.8e-02	1.00000	1.00000	0.0681438	0.0774019
-12.2	6.6e-02	1.00000	1.00000	0.0667878	0.0759789
-12.1	6.5e-02	1.00000	1.00000	0.0655024	0.0746381
-12	6.4e-02	1.00000	1.00000	0.0642625	0.0733483
-11.9	6.3e-02	1.00000	1.00000	0.0630948	0.07211
-11.8	6.2e-02	1.00000	1.00000	0.0619761	0.0709282
-11.7	6.1e-02	1.00000	1.00000	0.0608967	0.0697783
-11.6	6.0e-02	1.00000	1.00000	0.0598665	0.0686875
-11.5	5.9e-02	1.00000	1.00000	0.0588613	0.067628
-11.4	5.8e-02	1.00000	1.00000	0.0578972	0.0665665
-11.3	5.7e-02	1.00000	1.00000	0.0569636	0.0655726
-11.2	5.6e-02	1.00000	1.00000	0.0560428	0.0645867
-11.1	5.5e-02	1.00000	1.00000	0.0551343	0.0636207
-11	5.4e-02	1.00000	1.00000	0.0542293	0.0626693
-10.9	5.3e-02	1.00000	1.00000	0.0533339	0.061734
-10.8	5.2e-02	1.00000	1.00000	0.0524341	0.0608132
-10.7	5.1e-02	1.00000	1.00000	0.0515515	0.0598784
-10.6	5.0e-02	1.00000	1.00000	0.0506623	0.0589517
