#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.4	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.1	<NULL>	<NULL>	<NULL>	<NULL>	      1
-28.2	6.7e-01	1.00000	1.00000	0.679422	0.687276
-28.1	6.6e-01	1.00000	1.00000	0.675479	0.683177
-28	6.6e-01	1.00000	1.00000	0.671468	0.679172
-27.9	6.6e-01	1.00000	1.00000	0.667499	0.675142
-27.8	6.5e-01	1.00000	1.00000	0.663562	0.671117
-27.7	6.5e-01	1.00000	1.00000	0.659656	0.667186
-27.6	6.4e-01	1.00000	1.00000	0.655751	0.663288
-27.5	6.4e-01	1.00000	1.00000	0.651776	0.659354
-27.4	6.4e-01	1.00000	1.00000	0.647794	0.655416
-27.3	6.3e-01	1.00000	1.00000	0.643717	0.651446
-27.2	6.3e-01	1.00000	1.00000	0.639677	0.647554
-27.1	6.2e-01	1.00000	1.00000	0.635551	0.643546
-27	6.2e-01	1.00000	1.00000	0.631479	0.639618
-26.9	6.2e-01	1.00000	1.00000	0.627352	0.635688
-26.8	6.1e-01	1.00000	1.00000	0.623221	0.631722
-26.7	6.1e-01	1.00000	1.00000	0.619173	0.62771
-26.6	6.0e-01	1.00000	1.00000	0.615236	0.623748
-26.5	6.0e-01	1.00000	1.00000	0.61125	0.619778
-26.4	6.0e-01	1.00000	1.00000	0.607233	0.615841
-26.3	5.9e-01	1.00000	1.00000	0.60313	0.611819
-26.2	5.9e-01	1.00000	1.00000	0.599144	0.607849
-26.1	5.8e-01	1.00000	1.00000	0.595043	0.603815
-26	5.8e-01	1.00000	1.00000	0.591007	0.599778
-25.9	5.7e-01	1.00000	1.00000	0.587034	0.595841
-25.8	5.7e-01	1.00000	1.00000	0.583053	0.591909
-25.7	5.7e-01	1.00000	1.00000	0.579107	0.587957
-25.6	5.6e-01	1.00000	1.00000	0.575151	0.584072
-25.5	5.6e-01	1.00000	1.00000	0.571271	0.580042
-25.4	5.5e-01	1.00000	1.00000	0.567327	0.576098
-25.3	5.5e-01	1.00000	1.00000	0.563447	0.572142
-25.2	5.5e-01	1.00000	1.00000	0.559514	0.568159
-25.1	5.4e-01	1.00000	1.00000	0.555571	0.564113
-25	5.4e-01	1.00000	1.00000	0.551657	0.559991
-24.9	5.3e-01	1.00000	1.00000	0.547651	0.555856
-24.8	5.3e-01	1.00000	1.00000	0.543689	0.551642
-24.7	5.2e-01	1.00000	1.00000	0.539624	0.54741
-24.6	5.2e-01	1.00000	1.00000	0.535529	0.543095
-24.5	5.2e-01	1.00000	1.00000	0.531476	0.538723
-24.4	5.1e-01	1.00000	1.00000	0.527367	0.534322
-24.3	5.1e-01	1.00000	1.00000	0.523194	0.529847
-24.2	5.0e-01	1.00000	1.00000	0.518967	0.525329
-24.1	5.0e-01	1.00000	1.00000	0.514681	0.52069
-24	4.9e-01	1.00000	1.00000	0.510361	0.51608
-23.9	4.9e-01	1.00000	1.00000	0.505976	0.511355
-23.8	4.8e-01	1.00000	1.00000	0.501627	0.506653
-23.7	4.8e-01	1.00000	1.00000	0.497202	0.501811
-23.6	4.8e-01	1.00000	1.00000	0.492677	0.496953
-23.5	4.7e-01	1.00000	1.00000	0.488032	0.492155
-23.4	4.7e-01	1.00000	1.00000	0.483485	0.487335
-23.3	4.6e-01	1.00000	1.00000	0.47884	0.48256
-23.2	4.6e-01	1.00000	1.00000	0.474162	0.477708
-23.1	4.5e-01	1.00000	1.00000	0.469489	0.472849
-23	4.5e-01	1.00000	1.00000	0.464871	0.46803
-22.9	4.4e-01	1.00000	1.00000	0.460234	0.463151
-22.8	4.4e-01	1.00000	1.00000	0.455569	0.458256
-22.7	4.3e-01	1.00000	1.00000	0.450933	0.45345
-22.6	4.3e-01	1.00000	1.00000	0.44642	0.44863
-22.5	4.2e-01	1.00000	1.00000	0.441777	0.443828
-22.4	4.2e-01	1.00000	1.00000	0.437187	0.439094
-22.3	4.1e-01	1.00000	1.00000	0.432566	0.434232
-22.2	4.1e-01	1.00000	1.00000	0.428009	0.429471
-22.1	4.0e-01	1.00000	1.00000	0.423495	0.424685
-22	4.0e-01	1.00000	1.00000	0.419013	0.41996
-21.9	3.9e-01	1.00000	1.00000	0.414655	0.415221
-21.8	3.9e-01	1.00000	1.00000	0.41023	0.410482
-21.7	3.9e-01	1.00000	1.00000	0.405956	0.405742
-21.6	3.8e-01	1.00000	1.00000	0.401636	0.401054
-21.5	3.8e-01	1.00000	1.00000	0.397414	0.396475
-21.4	3.7e-01	1.00000	1.00000	0.393233	0.39194
-21.3	3.7e-01	1.00000	1.00000	0.389038	0.387494
-21.2	3.7e-01	1.00000	1.00000	0.384907	0.383021
-21.1	3.6e-01	1.00000	1.00000	0.380813	0.378705
-21	3.6e-01	1.00000	1.00000	0.376831	0.374446
