#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.9	1.0e+00	<NULL>	<NULL>	1	<NULL>
-36.2	9.3e-01	1.00000	1.00000	0.931923	0.93872
-36.1	9.3e-01	1.00000	1.00000	0.929867	0.936854
-36	9.3e-01	1.00000	1.00000	0.927771	0.934844
-35.9	9.2e-01	1.00000	1.00000	0.925664	0.932851
-35.8	9.2e-01	1.00000	1.00000	0.92357	0.930795
-35.7	9.2e-01	1.00000	1.00000	0.921443	0.928705
-35.6	9.2e-01	1.00000	1.00000	0.919307	0.926615
-35.5	9.1e-01	1.00000	1.00000	0.917155	0.924494
-35.4	9.1e-01	1.00000	1.00000	0.915001	0.922373
-35.3	9.1e-01	1.00000	1.00000	0.912881	0.920189
-35.2	9.1e-01	1.00000	1.00000	0.910782	0.918054
-35.1	9.0e-01	1.00000	1.00000	0.908579	0.915911
-35	9.0e-01	1.00000	1.00000	0.906383	0.913741
-34.9	9.0e-01	1.00000	1.00000	0.904269	0.911595
-34.8	9.0e-01	1.00000	1.00000	0.902114	0.909413
-34.7	9.0e-01	1.00000	1.00000	0.899907	0.907352
-34.6	8.9e-01	1.00000	1.00000	0.897732	0.905217
-34.5	8.9e-01	1.00000	1.00000	0.895551	0.903065
-34.4	8.9e-01	1.00000	1.00000	0.893423	0.900917
-34.3	8.9e-01	1.00000	1.00000	0.891321	0.898752
-34.2	8.8e-01	1.00000	1.00000	0.889246	0.896571
-34.1	8.8e-01	1.00000	1.00000	0.8872	0.894344
-34	8.8e-01	1.00000	1.00000	0.885134	0.892167
-33.9	8.8e-01	1.00000	1.00000	0.883051	0.889938
-33.8	8.7e-01	1.00000	1.00000	0.880902	0.887693
-33.7	8.7e-01	1.00000	1.00000	0.878727	0.885438
-33.6	8.7e-01	1.00000	1.00000	0.876582	0.883089
-33.5	8.7e-01	1.00000	1.00000	0.874485	0.880829
-33.4	8.7e-01	1.00000	1.00000	0.872354	0.878486
-33.3	8.6e-01	1.00000	1.00000	0.870196	 0.8761
-33.2	8.6e-01	1.00000	1.00000	0.867967	0.873637
-33.1	8.6e-01	1.00000	1.00000	0.865664	0.871125
-33	8.6e-01	1.00000	1.00000	0.86328	0.86861
-32.9	8.5e-01	1.00000	1.00000	0.860885	0.866062
-32.8	8.5e-01	1.00000	1.00000	0.85848	0.863563
-32.7	8.5e-01	1.00000	1.00000	0.855962	0.86091
-32.6	8.5e-01	1.00000	1.00000	0.853364	0.858198
-32.5	8.4e-01	1.00000	1.00000	0.850642	0.855416
-32.4	8.4e-01	1.00000	1.00000	0.847872	0.852561
-32.3	8.4e-01	1.00000	1.00000	0.845007	0.849711
